point,N83Z11XXX,N83Z11YYY,Id,Latitude,Longitude
NW06.2,513081,4313099,NW06.2,38.9668,-116.849
OP01.1,478608,4310154,OP01.1,38.9401,-117.2468
OP01.2,478207,4310375,OP01.2,38.942,-117.2515
OP02.1,477850,4310416,OP02.1,38.9424,-117.2556
OP02.2,477519,4310331,OP02.2,38.9416,-117.2594
OP03.1,477123,4310512,OP03.1,38.9432,-117.264
OP03.2,476818,4310735,OP03.2,38.9453,-117.2675
OP04.1,475875,4310641,OP04.1,38.9444,-117.2784
OP05.1,475407,4310665,OP05.1,38.9446,-117.2838
OP05.2,474938,4310724,OP05.2,38.9451,-117.2892
OP06.1,474322,4310756,OP06.1,38.9454,-117.2963
OP06.2,473902,4310610,OP06.2,38.944,-117.3012
OP07.1,473586,4310655,OP07.1,38.9444,-117.3048
OP08.1,473340,4310304,OP08.1,38.9413,-117.3076
OP09.1,473110,4310337,OP09.1,38.9416,-117.3103
OP09.2,472702,4310313,OP09.2,38.9413,-117.315
PT01.1,521173,4335324,PT01.1,39.1669,-116.7549
PT01.2,519800,4335559,PT01.2,39.169,-116.7708
PT02.1,519583,4335972,PT02.1,39.1728,-116.7733
PT02.2,519465,4336629,PT02.2,39.1787,-116.7746
PT03.1,518630,4337427,PT03.1,39.1859,-116.7843
PT03.2,518176,4337194,PT03.2,39.1838,-116.7896
PW01.1,516713,4344574,PW01.1,39.2503,-116.8063
PW01.2,516907,4344086,PW01.2,39.2459,-116.8041
PW02.1,516908,4342554,PW02.1,39.2321,-116.8041
PW02.2,516826,4341653,PW02.2,39.224,-116.8051
PW03.1,516699,4340817,PW03.1,39.2165,-116.8066
PW03.2,516629,4340556,PW03.2,39.2141,-116.8074
PW04.1,517314,4338686,PW04.1,39.1973,-116.7995
PW04.2,517585,4338227,PW04.2,39.1931,-116.7964
PW05.1,517719,4337613,PW05.1,39.1876,-116.7948
PW05.2,517924,4336991,PW05.2,39.182,-116.7925
RI01.1,463233,4329300,RI01.1,39.1121,-117.4253
RI01.2,462743,4329787,RI01.2,39.1164,-117.431
RI02.1,462578,4330360,RI02.1,39.1216,-117.4329
RI02.2,462370,4330938,RI02.2,39.1268,-117.4353
RI03.1,462568,4332105,RI03.1,39.1373,-117.4331
RI03.2,462716,4332560,RI03.2,39.1414,-117.4314
RI04.1,462527,4333413,RI04.1,39.1491,-117.4337
RI04.2,462424,4334066,RI04.2,39.155,-117.4349
RI05.1,462019,4334785,RI05.1,39.1614,-117.4396
RI05.2,462451,4334910,RI05.2,39.1626,-117.4346
RY01,550541,4337427,RY01,39.1846,-116.4148
RY02,549231,4336911,RY02,39.18,-116.43
RY03,547857,4337274,RY03,39.1834,-116.4459
RY04,546829,4337745,RY04,39.1877,-116.4578
RY05,545857,4337650,RY05,39.1869,-116.469
RY06,545188,4338026,RY06,39.1903,-116.4767
RY07,544472,4338787,RY07,39.1972,-116.485
WH08,543778,4339804,WH08,39.2064,-116.493
WH09,541940,4339565,WH09,39.2043,-116.5143
WH10,540988,4337578,WH10,39.1865,-116.5254
WH11,540694,4336326,WH11,39.1752,-116.5289
WH12,540593,4335579,WH12,39.1685,-116.5301
WH13,539964,4332918,WH13,39.1445,-116.5375
SC01.1,457570,4343144,SC01.1,39.2366,-117.4916
SC01.2,458360,4342274,SC01.2,39.2288,-117.4824
SC01.3,459007,4341468,SC01.3,39.2215,-117.4749
SC02.1,459757,4341043,SC02.1,39.2177,-117.4662
SC02.2,459910,4340681,SC02.2,39.2145,-117.4644
SC02.3,460507,4340306,SC02.3,39.2111,-117.4574
SC03.1,460818,4340208,SC03.1,39.2103,-117.4538
SC03.2,461141,4339518,SC03.2,39.2041,-117.4501
SC03.3,461183,4339761,SC03.3,39.2062,-117.4496
SC04.1,461656,4339427,SC04.1,39.2033,-117.4441
SC04.2,461730,4339360,SC04.2,39.2027,-117.4432
SJ01.1,475112,4333109,SJ01.1,39.1468,-117.288
SJ01.2,475197,4332753,SJ01.2,39.1436,-117.287
SJ01.3,475522,4331845,SJ01.3,39.1354,-117.2832
SJ02.1,476215,4330473,SJ02.1,39.1231,-117.2752
SJ02.2,476201,4330189,SJ02.2,39.1205,-117.2753
SJ02.3,476920,4330237,SJ02.3,39.121,-117.267
SJ03.1,477190,4330669,SJ03.1,39.1249,-117.2639
SJ03.2,477327,4330880,SJ03.2,39.1268,-117.2623
SJ04.1,477284,4331007,SJ04.1,39.1279,-117.2628
SJ04.2,477468,4331144,SJ04.2,39.1292,-117.2607
SJ05.1,477710,4331150,SJ05.1,39.1292,-117.2579
SJ05.2,478015,4330640,SJ05.2,39.1246,-117.2543
SU01.1,479257,4313358,SU01.1,38.9689,-117.2394
SU01.2,478677,4313528,SU01.2,38.9705,-117.2461
SU02.1,478370,4313751,SU02.1,38.9725,-117.2497
SU02.2,478226,4313749,SU02.2,38.9724,-117.2514
SU03.1,477620,4314075,SU03.1,38.9754,-117.2584
SU03.2,477277,4314119,SU03.2,38.9758,-117.2623
SU04.1,476898,4314091,SU04.1,38.9755,-117.2667
SU04.2,476402,4314164,SU04.2,38.9761,-117.2724
SU05.1,476069,4314635,SU05.1,38.9804,-117.2763
SU05.2,475934,4314998,SU05.2,38.9836,-117.2779
SU06.1,475658,4315078,SU06.1,38.9844,-117.2811
SU06.2,475781,4314913,SU06.2,38.9829,-117.2796
SW00.1,467063,4305943,SW00.1,38.9018,-117.3798
SW01.1,467308,4305727,SW01.1,38.8998,-117.377
SW01.2,467478,4305383,SW01.2,38.8967,-117.375
SW02.1,467712,4305124,SW02.1,38.8944,-117.3723
SW02.2,467930,4304901,SW02.2,38.8924,-117.3698
SW03.1,468386,4304751,SW03.1,38.8911,-117.3645
SW03.2,468645,4304499,SW03.2,38.8888,-117.3615
SW04.1,468921,4304312,SW04.1,38.8871,-117.3583
SW05.1,469128,4304223,SW05.1,38.8863,-117.356
SW05.2,469271,4304135,SW05.2,38.8855,-117.3543
SW06.1,469408,4303832,SW06.1,38.8828,-117.3527
SW06.2,469437,4303521,SW06.2,38.88,-117.3524
UN01.1,466955,4334270,UN01.1,39.157,-117.3825
UN01.2,466507,4334325,UN01.2,39.1575,-117.3877
UN02.1,465834,4334717,UN02.1,39.161,-117.3955
UN02.2,465345,4334870,UN02.2,39.1624,-117.4011
UN03.1,464392,4335151,UN03.1,39.1648,-117.4122
UN03.2,463859,4335420,UN03.2,39.1672,-117.4184
UN04.1,463046,4335553,UN04.1,39.1684,-117.4278
UN04.2,462172,4336062,UN04.2,39.173,-117.4379
UN05.1,461858,4335606,UN05.1,39.1688,-117.4415
UN05.2,461771,4334944,UN05.2,39.1629,-117.4425
UN06.1,461400,4334852,UN06.1,39.162,-117.4468
UN06.2,461304,4334523,UN06.2,39.1591,-117.4479
UN07.1,461094,4334514,UN07.1,39.159,-117.4503
UN07.2,461002,4334601,UN07.2,39.1597,-117.4514
UN0B1,466208,4334493,UN0B1,39.159,-117.3911
UN0B2,465679,4334701,UN0B2,39.1608,-117.3973
UN0B3,465579,4334726,UN0B3,39.1611,-117.3984
UN0B4,465472,4334801,UN0B4,39.1617,-117.3997
UN0B5,464142,4335228,UN0B5,39.1655,-117.4151
UN0B6,463923,4335318,UN0B6,39.1663,-117.4176
UN0B7,463704,4335430,UN0B7,39.1673,-117.4202
WA01.1,480640,4281421,WA01.1,38.6812,-117.2226
WA01.2,479744,4281663,WA01.2,38.6833,-117.2329
WA02.1,478861,4281929,WA02.1,38.6857,-117.2431
WA02.2,478012,4282228,WA02.2,38.6884,-117.2528
WA03.1,477057,4282690,WA03.1,38.6925,-117.2638
WA03.2,476504,4283065,WA03.2,38.6959,-117.2702
WA04.1,475818,4283922,WA04.1,38.7036,-117.2781
WA04.2,475454,4284265,WA04.2,38.7067,-117.2823
WA05.1,474874,4284514,WA05.1,38.7089,-117.289
WA05.2,474577,4284907,WA05.2,38.7124,-117.2924
WA06.1,474931,4284883,WA06.1,38.7122,-117.2883
WA0B1,476751,4282806,WA0B1,38.6936,-117.2673
WA0B2,476381,4283210,WA0B2,38.6972,-117.2716
